Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,CFR,RecoveryRate
1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1,0.0,0.0
2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1,0.0,0.0
3,2020-02-01,6:00 PM,Kerala,2,0,0,0,2,0.0,0.0
4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
5,2020-02-03,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
6,2020-02-04,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
7,2020-02-05,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
8,2020-02-06,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
9,2020-02-07,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
10,2020-02-08,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
11,2020-02-09,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
12,2020-02-10,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
13,2020-02-11,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
14,2020-02-12,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
15,2020-02-13,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
16,2020-02-14,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
17,2020-02-15,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
18,2020-02-16,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
19,2020-02-17,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
20,2020-02-18,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
21,2020-02-19,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
22,2020-02-20,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
23,2020-02-21,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
24,2020-02-22,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
25,2020-02-23,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
26,2020-02-24,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
27,2020-02-25,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
28,2020-02-26,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
29,2020-02-27,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
30,2020-02-28,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
31,2020-02-29,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
32,2020-03-01,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
33,2020-03-02,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
34,2020-03-02,6:00 PM,Kerala,3,0,0,0,3,0.0,0.0
35,2020-03-02,6:00 PM,Delhi,1,0,0,0,1,0.0,0.0
36,2020-03-03,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
37,2020-03-03,6:00 PM,Rajasthan,0,1,0,0,1,0.0,0.0
38,2020-03-03,6:00 PM,Kerala,3,0,3,0,3,0.0,100.0
39,2020-03-03,6:00 PM,Delhi,1,0,0,0,1,0.0,0.0
40,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0,0,6,0.0,0.0
41,2020-03-04,6:00 PM,Kerala,3,0,3,0,3,0.0,100.0
42,2020-03-04,6:00 PM,Haryana,0,2,0,0,2,0.0,0.0
43,2020-03-04,6:00 PM,Delhi,1,0,0,0,1,0.0,0.0
44,2020-03-04,6:00 PM,Telengana,1,0,0,0,1,0.0,0.0
45,2020-03-04,6:00 PM,Rajasthan,1,14,0,0,15,0.0,0.0
